customer_tweet_id,customer_message,draft_reply,best_similarity,correctness,helpfulness,relevance,groundedness,overall_score,pass,short_reason
2624901,"@AppleSupport Progressively getting worse, hence why I need you to run a diag tool so I can determine if I need to replace battery? https\://t.co/xnurVSoD5Q","Thanks for reaching out. We'd be happy to help.

Understood. Let's take a look at this further in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",0.942876546114694,4,3,4,4,4,True,"The reply appropriately directs the customer to continue in direct messages, matching the strongest historical evidence, but it does not explain how the battery diagnostic will be performed and adds a generic escalation statement."
1773730,@AppleSupport Does Apple no longer sell a wired USB keyboard??,"Thanks for reaching out. We'd be happy to help.

Hi! Great question. Our Online Sales Team can help out with keyboards. Reach them here:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,4,3,5,4,4,True,"The reply correctly directs the customer to Apple's Online Sales Team, matching the historical response, but it omits the provided contact link and adds a generic support fallback."
286211,Getting distorted outgoing Voice msg quality w the last update to #iPhone &amp; #WhatsApp @4305 @AppleSupport Bluetooth is off but sounds on,"Thanks for reaching out. We'd be happy to help.

Let's team up to figure out the best path forward. Reach out via direct message and we'll take a look.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0000000000000004,4,3,5,5,4,True,"The reply closely matches the historical support response and appropriately directs the customer to continue via direct message, but it provides no specific troubleshooting for the distorted WhatsApp audio issue."
2132077,"@AppleSupport doesn't happen with wi-fi. it's the first time that happens. I did not have ""on"" the wifi nor the cellular data, when i turned on the data, it froze for at least 30 mins. (the reset function did not work)","Thanks for reaching out. We'd be happy to help.

We'd like to find out why this happens. To start when you attempt a restart, were you use the steps shown?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",0.9999999999999999,3,2,4,4,3,False,"The reply is relevant and broadly consistent with the historical response, but it does not provide the restart instructions or link, contains awkward wording, and offers little actionable help beyond referring the customer to Apple Support."
228552,@AppleSupport Why don't the iPads have a Calculator?,"Thanks for reaching out. We'd be happy to help.

We'd like to look into this. Which iPad and software version are you using?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,2,2,3,5,2,False,"The reply matches the historical response and is grounded in the evidence, but it does not answer the customer's informational question about why iPads lack a Calculator app. Asking for the iPad model and software version is unnecessary for this request."
543708,".\@AppleSupport @115858 - how come there isn't already information here about the widely reported ""2nd December"" bug - my phone keeps crashing/re-starting. I'm due an upgrade and so if this isn't fixed soon and fully I'll be choosing @122986 #Pixel2 Poor.........","Thanks for reaching out. We'd be happy to help.

We want your iPhone to function properly for you. Check out this support article, which addresses the issue you're experiencing:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,3,2,4,4,3,False,"The reply is relevant and consistent with the historical response, but it omits the support article link and provides no specific troubleshooting or information about the reported bug, making it minimally actionable."
2730400,"@AppleSupport 

It’s happening again. Is there going to be an update to address this, or this just the “new normal”? https\://t.co/gnWFaWgh1I","Thanks for reaching out. We'd be happy to help.

That should not be happening. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",0.9310861072911982,4,4,5,5,4,True,"The reply closely matches the strongest historical response and appropriately asks for the iOS version, but it does not directly address the customer's question about whether an update is planned."
2552419,@AppleSupport since upgrading the Apple Watch software the battery drains very quickly,"Thanks for reaching out. We'd be happy to help.

We’d be glad to look into that more. Can you start by confirming what model Watch you have as well as the current WatchOS and iOS version your devices have installed? Let us know in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,4,4,5,5,4,True,"The reply closely matches the supported response by requesting the Watch model and current watchOS/iOS versions and moving the investigation to direct messages. It is relevant and appropriate, though it offers no immediate troubleshooting and redundantly suggests contacting Apple Support."
2743018,"@AppleSupport you suck so bad. I hate you. Waiting forever for @118721 to load, you never seem to like my recently created password. Then iTunes just hangs, as you can see in this photo.  What a waste of time. https\://t.co/P6cRmsXDbP","Thanks for reaching out. We'd be happy to help.

We want you to be able to use iTunes consistently. What version of iTunes are you on currently? Let us know in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",0.9691441627654473,4,3,5,5,4,True,"The reply closely matches the historically supported response and appropriately asks for the iTunes version via direct message. However, it offers little immediate troubleshooting and redundantly directs the customer to contact Apple Support."
2355893,"@AppleSupport Why when I delete emails from my mail app, do they reappear seconds later??","Thanks for reaching out. We'd be happy to help.

We're here for you. direct message us which device you're using and we'll go from there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,4,3,5,5,4,True,"The reply closely matches the historical support response and appropriately asks for the device to provide tailored steps, but it does not explain why deleted emails reappear or offer immediate troubleshooting."
994499,@AppleSupport Just upgraded to 11.0.3 and it killed my cell service. How do I fix this?,"Thanks for reaching out. We'd be happy to help.

Let's get your cell service back in action. What exactly is happening with your service?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,4,3,5,4,4,True,"The reply appropriately asks what aspect of cell service is failing, matching the historical support response, but it does not provide any immediate troubleshooting steps or a specific fix."
2816413,@AppleSupport i have vibrate disabled but my phone still vibrates when i use TouchID to make a purchase in the app store help,"Thanks for reaching out. We'd be happy to help.

We want to help you with Vibration and your iPhone. direct message us, and let us know which iPhone you have. We'll look into this.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0000000000000002,4,3,5,5,4,True,"The reply directly addresses the vibration issue and appropriately requests a direct message with the iPhone model, closely matching the historical support response. However, it offers no immediate troubleshooting or explanation for why Touch ID may still vibrate."
