customer_tweet_id,customer_id,customer_message,brand_response,customer_created_at
643241,272712,@AppleSupport Yes I’ve tried restarting but it’s still doing this periodically.,@272712 Thanks for confirming that for us. Which iOS version are you running on you iPhone? Check in Settings &gt; General &gt; About.,Sat Oct 21 12:49:27 +0000 2017
170368,155694,@AppleSupport Yeah it’s enabled,"@155694 Is your iPod connected to Wi-Fi at the moment? In order to access videos that are saved in the iCloud Photo Library, you'll need to be connected to Wi-Fi.",Fri Nov 24 22:21:39 +0000 2017
1565129,215452,@AppleSupport Didn’t work,@215452 OK. Let's look into this a bit further with you. DM us and we'll continue with you there. https://t.co/GDrqU22YpT,Sat Nov 04 06:27:49 +0000 2017
1419120,449860,@AppleSupport Help! Every time I️ type the letter I️ it’s corrects to I️. So annoying it’s killing 😫,@449860 We'd be happy to look into that. Which device and OS version are you using?,Wed Nov 01 23:11:33 +0000 2017
1297959,423337,@AppleSupport I just noticed that one side of my iPhone Lightning Cable corroded? All its been doing is sitting on my desk.,@423337 We'd like to look into this. DM us with which country you're in and we'll go from there. https://t.co/GDrqU22YpT,Thu Oct 26 21:54:49 +0000 2017
816203,314360,@AppleSupport Yes I’ve turned on and off several time but it just won’t work,@314360 Thanks for confirming those steps. Does this affect only third-party apps or Apple apps like Notes as well? Let us know in DM. https://t.co/GDrqU22YpT,Thu Oct 12 20:36:07 +0000 2017
593527,260535,@AppleSupport how can I transfer my bank details from my old Apple ID on to my new Apple ID?,"@260535 That's a great question! To make sure we provide the best support, are you looking to add your card details for iTunes and App Store purchases? If so, the steps for adding payment information can be found here: https://t.co/Y0YoIRcZa7",Sun Dec 03 17:05:49 +0000 2017
2688123,755838,@AppleSupport @115858 My wife and I both have iPhone 5s. Since both downloading iOS 11 we’ve had severe battery drain. I know it isn’t the battery as we bought our phones at least a year apart. Is this a scheme to make us upgrade? Can no longer call it a mobile!,"@755838 We know how vital battery life is. We'd be happy to look into this with you. Check out these great tips on maintaining battery health, and DM us if you have any questions: https://t.co/bivpdfBNJ6 https://t.co/GDrqU22YpT",Sun Nov 19 08:08:17 +0000 2017
538667,244889,@AppleSupport Why iPhone with iOS 11.1.2 in Thailand has reboot problems. a lot of customer had same problem. How to fix it,"@244889 We appreciate you taking the time to reach out to us about your iPhone restarting and recommend following the steps in this article: https://t.co/osZOKKTalm If that doesn't help, let us know and we'll dig in deeper.",Sat Dec 02 04:45:53 +0000 2017
2948232,681846,@AppleSupport how am i supposed to update my phone when the update won't even load??????? https://t.co/3nFUjPZ5Hh,"@681846 This article can help: https://t.co/Ui1yTnOCUz Be sure Low Power Mode is switched off and you're connected to Wi-Fi, as well.",Wed Nov 29 16:18:26 +0000 2017
2081678,347167,@AppleSupport lmk why I updated my phone and now cannot do anything unless I’m on WiFi... why own a $700 phone if it’s basically an iPod,@347167 We'd be happy to look into this with you. Send us a DM with a few details and we can start there. https://t.co/GDrqU22YpT,Thu Oct 19 02:37:45 +0000 2017
215785,167313,"@AppleSupport All most all apps, it almost looks like they slow down all the old devices so everybody buy new phones",@167313 Does it show any updates available for the apps in the App Store? DM the answer below. https://t.co/GDrqU22YpT,Wed Oct 04 21:29:13 +0000 2017
206464,164888,"@AppleSupport iOS 11.0.2
macOS Sierra 10.12.6",@164888 Thanks for confirming that for us. Do you know which model is your MacBook Air?,Wed Oct 04 20:11:18 +0000 2017
556104,249905,@AppleSupport @AppleSupport  I would say nothing happening et’all. Let me know if any additional info needed. Attached screenshot. Thanks 🙏🏻 https://t.co/lWlHN1PuEP,"@249905 OK so it's just acting like you're pressing and holding icons to delete or move them, thanks for that image! Have you already tried restarting the device since the 3D Touch quit working?",Sun Dec 03 03:20:48 +0000 2017
1269025,417144,@AppleSupport Thank you. 😊,@417144 You're welcome.,Thu Oct 26 14:40:16 +0000 2017
