customer_tweet_id,customer_id,customer_message,brand_response,customer_created_at,intent,expected_escalation,difficulty,notes
328518,194328,@AppleSupport mom got an email from this address and opened it. It's in German. She's convinced it's real. #spam https\://t.co/T293nXTRwp,"@194328 For help with suspicious emails, check this out: https\://t.co/LNMCdqt6fD",Sat Oct 07 15:00:52 +0000 2017,security_phishing_issue,True,medium,Evaluation label prepared with assistant-assisted review against the AppleSupport 14-intent taxonomy; escalation reflects whether the issue requires human/account-specific handling.
1533802,285569,@115858 @AppleSupport  IM SO FUCKING SICK OF MY PHONE PLAYING UP EVERY TIME A NEW ONE COMES OUT IVE NOT EVEN HAD THIS ONE FOR A YEAR YET,@285569 We're here to help. DM us what iOS version you're on and we'll help. https\://t.co/GDrqU22YpT,Fri Nov 03 19:31:55 +0000 2017,device_performance_issue,False,medium,Evaluation label prepared with assistant-assisted review against the AppleSupport 14-intent taxonomy; escalation reflects whether the issue requires human/account-specific handling.
539873,245206,@AppleSupport just bought an album. Keeps saying item is not available when I try to play it in Music. It won’t let download it either.,"@245206 We'd like to help you enjoy the music you purchased. What happens when you try to download the album?Also, which iOS version are you running?",Sat Dec 02 05:29:21 +0000 2017,app_or_media_issue,False,medium,Evaluation label prepared with assistant-assisted review against the AppleSupport 14-intent taxonomy; escalation reflects whether the issue requires human/account-specific handling.
2039356,527095,I did exactly that @AppleSupport yet ..... or do you want me to throwaway my iPhone 7 and get the X? I’m not understanding anything again https\://t.co/dszcLP2lZF,@527095 We'd like to look into this with you. DM which iOS version you're on with the following link and we'll help there. https\://t.co/GDrqU22YpT,Tue Nov 07 18:07:32 +0000 2017,general_or_unclear,True,hard,Evaluation label prepared with assistant-assisted review against the AppleSupport 14-intent taxonomy; escalation reflects whether the issue requires human/account-specific handling.
1527759,474361,MY I️ ISNT WORKING APPLE (eye but the single letter) @115858 @AppleSupport,@474361 Let's meet up in DM to discuss that further for you today. Here's a link: https\://t.co/GDrqU22YpT,Fri Nov 03 18:04:00 +0000 2017,keyboard_input_issue,False,easy,Evaluation label prepared with assistant-assisted review against the AppleSupport 14-intent taxonomy; escalation reflects whether the issue requires human/account-specific handling.
620144,267186,@AppleSupport My iPhone..it keeps wanting me to put my password in for my exchange account then it says it’s wrong. I can’t even reset it through my actual email website.,@267186 Understood. Have you tried reaching out to your email service provider since you're having issues with their website as well?,Wed Nov 22 17:27:14 +0000 2017,apple_id_icloud_issue,True,medium,Evaluation label prepared with assistant-assisted review against the AppleSupport 14-intent taxonomy; escalation reflects whether the issue requires human/account-specific handling.
249331,175239,@AppleSupport put all my PICTURES AND SHIT BACK,"@175239 Hi. Photos are an extremely important part of why we use our mobile devices. We'd absolutely love to help with direction or a resolution on this concern. If you use iCloud Photo, did you refresh your connection? Send us a DM and let us know. https\://t.co/GDrqU22YpT",Sat Nov 25 02:16:10 +0000 2017,apple_id_icloud_issue,True,medium,Evaluation label prepared with assistant-assisted review against the AppleSupport 14-intent taxonomy; escalation reflects whether the issue requires human/account-specific handling.
1962797,581996,@AppleSupport  extremely frustrating (and coincidental??) that my phone slows way down with the new updates...since the NEW phones are out🤬,@581996 We want to help with your iPhone. Please DM us details on what app is in use when this slow down occurs. We'll work there. https\://t.co/GDrqU22YpT,Mon Oct 30 19:39:01 +0000 2017,software_update_issue,False,medium,Evaluation label prepared with assistant-assisted review against the AppleSupport 14-intent taxonomy; escalation reflects whether the issue requires human/account-specific handling.
2623623,741179,Please @115858 @AppleSupport @116333 @123857 @119462 Repair the way @12228 show the released date app. Thank you https\://t.co/JUjDyD5ZTs,@741179 We're happy to look into this with you. Send us a DM and we'll gather some information to get us started. https\://t.co/GDrqU22YpT,Sun Oct 08 18:17:28 +0000 2017,product_feature_question,False,medium,Evaluation label prepared with assistant-assisted review against the AppleSupport 14-intent taxonomy; escalation reflects whether the issue requires human/account-specific handling.
2774315,775345,"@AppleSupport Yeah, I did that. However, the map was not edited to reflect my (correct) feedback. How do I make sure the map does get changed?","@775345 We always welcome feedback on our products and software, and you can leave that feedback here: https\://t.co/eTPVYVFyd8",Tue Nov 21 17:36:57 +0000 2017,product_feature_question,False,medium,Evaluation label prepared with assistant-assisted review against the AppleSupport 14-intent taxonomy; escalation reflects whether the issue requires human/account-specific handling.
