example_number,customer_tweet_id,customer_message,brand_response,draft_reply,proxy_correctness,proxy_helpfulness,proxy_relevance,proxy_groundedness,proxy_overall,proxy_pass,proxy_notes
1,2624901,"@AppleSupport Progressively getting worse, hence why I need you to run a diag tool so I can determine if I need to replace battery? https\://t.co/xnurVSoD5Q",@741478 Understood. Let's take a look at this further in DM. https\://t.co/GDrqU22YpT,"Thanks for reaching out. We'd be happy to help.

Understood. Let's take a look at this further in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
2,1773730,@AppleSupport Does Apple no longer sell a wired USB keyboard??,@202812 Hi! Great question. Our Online Sales Team can help out with keyboards. Reach them here: https\://t.co/8yjRd1Xo0i,"Thanks for reaching out. We'd be happy to help.

Hi! Great question. Our Online Sales Team can help out with keyboards. Reach them here:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
3,286211,Getting distorted outgoing Voice msg quality w the last update to #iPhone &amp; #WhatsApp @4305 @AppleSupport Bluetooth is off but sounds on,@184189 Let's team up to figure out the best path forward. Reach out via DM and we'll take a look. https\://t.co/GDrqU22YpT,"Thanks for reaching out. We'd be happy to help.

Let's team up to figure out the best path forward. Reach out via direct message and we'll take a look.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
4,2132077,"@AppleSupport doesn't happen with wi-fi. it's the first time that happens. I did not have ""on"" the wifi nor the cellular data, when i turned on the data, it froze for at least 30 mins. (the reset function did not work)","@627432 We'd like to find out why this happens. To start when you attempt a restart, were you use the steps shown? https\://t.co/o7nB3pXfMv","Thanks for reaching out. We'd be happy to help.

We'd like to find out why this happens. To start when you attempt a restart, were you use the steps shown?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
5,228552,@AppleSupport Why don't the iPads have a Calculator?,@170492 We'd like to look into this. Which iPad and software version are you using?,"Thanks for reaching out. We'd be happy to help.

We'd like to look into this. Which iPad and software version are you using?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
6,543708,".\@AppleSupport @115858 - how come there isn't already information here about the widely reported ""2nd December"" bug - my phone keeps crashing/re-starting. I'm due an upgrade and so if this isn't fixed soon and fully I'll be choosing @122986 #Pixel2 Poor.........","@246296 We want your iPhone to function properly for you. Check out this support article, which addresses the issue you're experiencing: https\://t.co/Wc5MHFZb0p","Thanks for reaching out. We'd be happy to help.

We want your iPhone to function properly for you. Check out this support article, which addresses the issue you're experiencing:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
7,2730400,"@AppleSupport 

It’s happening again. Is there going to be an update to address this, or this just the “new normal”? https\://t.co/gnWFaWgh1I",@498939 That should not be happening. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.,"Thanks for reaching out. We'd be happy to help.

That should not be happening. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
8,2552419,@AppleSupport since upgrading the Apple Watch software the battery drains very quickly,@351168 We’d be glad to look into that more. Can you start by confirming what model Watch you have as well as the current WatchOS and iOS version your devices have installed? Let us know in DM. https\://t.co/GDrqU22YpT,"Thanks for reaching out. We'd be happy to help.

We’d be glad to look into that more. Can you start by confirming what model Watch you have as well as the current WatchOS and iOS version your devices have installed? Let us know in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
9,2743018,"@AppleSupport you suck so bad. I hate you. Waiting forever for @118721 to load, you never seem to like my recently created password. Then iTunes just hangs, as you can see in this photo.  What a waste of time. https\://t.co/P6cRmsXDbP",@768328 We want you to be able to use iTunes consistently. What version of iTunes are you on currently? Let us know in DM. https\://t.co/GDrqU22YpT,"Thanks for reaching out. We'd be happy to help.

We want you to be able to use iTunes consistently. What version of iTunes are you on currently? Let us know in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
10,2355893,"@AppleSupport Why when I delete emails from my mail app, do they reappear seconds later??",@680608 We're here for you. DM us which device you're using and we'll go from there. https\://t.co/GDrqU22YpT,"Thanks for reaching out. We'd be happy to help.

We're here for you. direct message us which device you're using and we'll go from there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
11,994499,@AppleSupport Just upgraded to 11.0.3 and it killed my cell service. How do I fix this?,@355563 Let's get your cell service back in action. What exactly is happening with your service?,"Thanks for reaching out. We'd be happy to help.

Let's get your cell service back in action. What exactly is happening with your service?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
12,2816413,@AppleSupport i have vibrate disabled but my phone still vibrates when i use TouchID to make a purchase in the app store help,"@785135 We want to help you with Vibration and your iPhone. DM us, and let us know which iPhone you have. We'll look into this. https\://t.co/GDrqU22YpT","Thanks for reaching out. We'd be happy to help.

We want to help you with Vibration and your iPhone. direct message us, and let us know which iPhone you have. We'll look into this.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
13,2263467,"@AppleSupport Yes. I thought it was really weird because the first time I added it, it said I couldn’t play it. Then, I deleted it and re-installed it. Now, it works.",@394453 We're glad to hear that.  Don't hesitate to contact us again in the future should you need us.,"Thanks for reaching out. We'd be happy to help.

We're glad to hear that. Don't hesitate to contact us again in the future should you need us.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
14,2920059,@AppleSupport Done. It would be appreciated if you passed this request on to the powers that be as well.,@116796 Thanks for providing your feedback. We value your feedback and recommendations. Please know that your feedback is reviewed. DM us with any additional questions. We're happy to do everything we can to help. https\://t.co/GDrqU22YpT,"Thanks for reaching out. We'd be happy to help.

Thanks for providing your feedback. We value your feedback and recommendations. Please know that your feedback is reviewed. direct message us with any additional questions. We're happy to do everything we can to help.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
15,2472878,.\@AppleSupport tip: iMessage- bring feature to allow you to pin individual or group chats. Thanks.,"@303769 We always appreciate feedback you can use our feedback link here to tell us more: https\://t.co/eTPVYVFyd8

Just reach out again if you have any other issues and have a good one!","Thanks for reaching out. We'd be happy to help.

We always appreciate feedback you can use our feedback link here to tell us more: Just reach out again if you have any other issues and have a good one!

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",4,4,5,5,4,True,Proxy evaluation; not an independent human rating.
